station_id,County,Community,Functional Class,Rural Urban,On,From,To,Approach,At,Dir,directions,Category,LRS ID,LRS Loc Pt,latitude,longitude,Latest,Latest Date
4910,Saint Louis,-,Other Principal Arterial,R,US 53,,,NORTH OF,"CSAH8 (DULUTH SAINT VINCENT RD), NW OF HERMANTOWN",2-WAY,NB/SB,Two-Way Roadway,0200000000000053-I,21.1032035,46.924025,-92.41241,7772,9/29/2025
495,Blue Earth,-,Other Principal Arterial,U,US 169,,,,MN66 (SIBLEY ST) IN MANKATO,2-WAY,EB/WB,Two-Way Roadway,0200000000000169-I,51.3318228,44.153958,-94.03388,24868,10/31/2025
497,Blue Earth,Mankato,Minor Arterial,U,MN 22,,,NORTH OF,CSAH17 (MADISON AVE) IN MANKATO,2-WAY,NB/SB,Two-Way Roadway,0300000000000022-I,52.2986767,44.1687677,-93.9489083,21008,11/10/2025
5003,Saint Louis,-,Other Principal Arterial,R,US 53,,,,MN 73,2-WAY,NB/SB,Two-Way Roadway,0200000000000053-I,99.4986574,47.8916842,-92.7746293,2734,1/1/2024
5120,Saint Louis,-,Interstate,R,I 35,,,,CSAH13 IN DULUTH,2-WAY,NB/SB,Two-Way Roadway,0100000000000035-I,247.9690399,46.7166977,-92.2491793,26329,10/26/2025
516,Blue Earth,Mankato,Freeway & Expressway,U,US 14,,,EAST OF,US 169,2-WAY,EB/WB,Two-Way Roadway,0200000000000014-I,130.4274241,44.1912298,-94.0042381,49409,11/11/2025
520,Nicollet,-,Freeway & Expressway,U,US 14,,,,US 169,2-WAY,EB/WB,Two-Way Roadway,0200000000000014-I,129.3619646,44.18814632,-94.02381196,25436,11/11/2025
5262,Saint Louis,Hibbing,Other Principal Arterial,R,US 169,,,,SPUDVILLE RD IN HIBBING,2-WAY,NB/SB,Two-Way Roadway,0200000000000169-I,338.605837,47.445151,-92.887307,15802,10/30/2025
5272,Saint Louis,Virginia,Other Principal Arterial,U,US 53,,,,2nd AVE W IN VIRGINIA,2-WAY,NB/SB,Two-Way Roadway,0200000000000053-I,64.314368,47.511662,-92.512163,18848,11/11/2025
5275,Saint Louis,Virginia,Other Principal Arterial,U,US 53,,,EAST OF,MSAS217 (12TH AVE W) VIRGINIA,2-WAY,NB/SB,Two-Way Roadway,0200000000000053-I,66.4678807,47.5100896,-92.5512458,14054,11/11/2025
5292,Saint Louis,Virginia,Other Principal Arterial,U,US 53,,,SOUTH OF,CSAH102 (9th ST) IN VIRGINIA,2-WAY,NB/SB,Two-Way Roadway,0200000000000053-I,67.4209391,47.519588,-92.561526,5660,11/10/2025
537,Brown,-,Other Principal Arterial,R,US 14,,,,CSAH 16 (COUNTY RD 16),2-WAY,EB/WB,Two-Way Roadway,0200000000000014-I,81.5016648,44.282308,-94.8634007,2875,10/31/2025
5424,Sibley,-,Minor Arterial,R,MN 19,,,EAST OF,E JCT CSAH3,2-WAY,EB/WB,Two-Way Roadway,0300000000000019-I,107.9478882,44.543068,-94.414199,3234,10/31/2025
5506,Stearns,Saint Augusta,Interstate,U,I 94,,,,CSAH75 (ROOSEVELT) IN ST AUGUSTA,2-WAY,EB/WB,Two-Way Roadway,0100000000000094-I,171.9767222,45.48711036,-94.14744019,39834,11/11/2025
5523,Stearns,-,Other Principal Arterial,R,MN 23,,,WEST OF,CSAH71 (191st AV) IN RICHMOND,2-WAY,EB/WB,Two-Way Roadway,0300000000000023-I,183.6362129,45.4514593,-94.4872517,12280,10/26/2025
5707,Steele,-,Interstate,R,I 35,,,NORTH OF,MN 30,2-WAY,NB/SB,Two-Way Roadway,0100000000000035-I,30.0904119,43.92012793,-93.27691156,19990,11/24/2025
