Link Id	Count Station Id	Hour	MATSIM volumes	Count volumes	Relative Error	Normalized Relative Error	GEH
74729	FHA_55_130011_7	2	14.4	306	-0.953	0.953	23.039
74729	FHA_55_130011_7	3	57.6	245	-0.765	0.765	15.235
74729	FHA_55_130011_7	4	409.2	282	0.451	0.311	6.842
74729	FHA_55_130011_7	5	1665.2	664	1.508	0.601	29.338
74729	FHA_55_130011_7	6	4336	2213	0.959	0.49	37.1
74729	FHA_55_130011_7	7	6080	4499	0.351	0.26	21.738
74729	FHA_55_130011_7	8	6540	6007	0.089	0.081	6.729
74729	FHA_55_130011_7	9	5368.4	5078	0.057	0.054	4.018
74729	FHA_55_130011_7	10	4343.6	4166	0.043	0.041	2.723
74729	FHA_55_130011_7	11	3510.8	3896	-0.099	0.099	6.33
74729	FHA_55_130011_7	12	3077.2	3972	-0.225	0.225	15.072
74729	FHA_55_130011_7	13	2987.6	4166	-0.283	0.283	19.704
74729	FHA_55_130011_7	14	3165.6	4129	-0.233	0.233	15.952
74729	FHA_55_130011_7	15	3784	4394	-0.139	0.139	9.539
74729	FHA_55_130011_7	16	4429.2	4643	-0.046	0.046	3.174
74729	FHA_55_130011_7	17	4568.4	5022	-0.09	0.09	6.55
74729	FHA_55_130011_7	18	4314	4526	-0.047	0.047	3.189
74729	FHA_55_130011_7	19	3486.4	3527	-0.012	0.012	0.686
74729	FHA_55_130011_7	20	2796	2593	0.078	0.073	3.911
74729	FHA_55_130011_7	21	2096.4	2170	-0.034	0.034	1.594
74729	FHA_55_130011_7	22	1684.8	1742	-0.033	0.033	1.382
74729	FHA_55_130011_7	23	1457.2	1332	0.094	0.086	3.353
74729	FHA_55_130011_7	24	1245.6	838	0.486	0.327	12.628
81215	FHA_55_130011_3	1	6	388	-0.985	0.985	27.216
81215	FHA_55_130011_3	2	2	257	-0.992	0.992	22.408
81215	FHA_55_130011_3	3	29.6	209	-0.858	0.858	16.425
81215	FHA_55_130011_3	4	196.8	275	-0.284	0.284	5.091
81215	FHA_55_130011_3	5	855.2	600	0.425	0.298	9.461
81215	FHA_55_130011_3	6	2501.2	1645	0.52	0.342	18.805
81215	FHA_55_130011_3	7	4056.8	3016	0.345	0.257	17.502
81215	FHA_55_130011_3	8	4957.6	4374	0.133	0.118	8.544
81215	FHA_55_130011_3	9	4705.2	4086	0.152	0.132	9.339
81215	FHA_55_130011_3	10	3744.4	3779	-0.009	0.009	0.564
81215	FHA_55_130011_3	11	3104	3972	-0.219	0.219	14.593
